"Account Number","Account Name","Type","Detail Type"
"34584","3458 IVA reembolsos pedidos: Reembolsos reclamados, recorridos ou impugnados","Passivos circulantes","obrigação tributária corrente"
"35111","3511 Estado: c/subscrição","Passivos circulantes","Outros passivos circulantes"
"35112","3511 Estado: c/adiantamentos sobre lucros","Passivos circulantes","Outros passivos circulantes"
"35113","3511 Estado: c/lucros","Passivos circulantes","Outros passivos circulantes"
"35114","3511 Estado: Empréstimos","Passivos circulantes","Outros passivos circulantes"
"35121","3512 Empresas do grupo – subsidiárias: c/subscrição","Passivos circulantes","Outros passivos circulantes"
"35122","3512 Empresas do grupo – subsidiárias: c/adiantamentos sobre lucros","Passivos circulantes","Outros passivos circulantes"
"35123","3512 Empresas do grupo – subsidiárias: c/lucros","Passivos circulantes","Outros passivos circulantes"
"35124","3512 Empresas do grupo – subsidiárias: Empréstimos","Passivos circulantes","Outros passivos circulantes"
"35131","3513 Empresas do grupo – associadas: c/subscrição","Passivos circulantes","Outros passivos circulantes"
"35132","3513 Empresas do grupo – associadas: c/adiantamentos sobre lucros","Passivos circulantes","Outros passivos circulantes"
"35133","3513 Empresas do grupo – associadas: c/lucros","Passivos circulantes","Outros passivos circulantes"
"35134","3513 Empresas do grupo – associadas: Empréstimos","Passivos circulantes","Outros passivos circulantes"
"35141","3514 Outros: c/subscrição","Passivos circulantes","Outros passivos circulantes"
"35142","3514 Outros: c/adiantamentos sobre lucros","Passivos circulantes","Outros passivos circulantes"
"35143","3514 Outros: c/lucros","Passivos circulantes","Outros passivos circulantes"
"35144","3514 Outros: Empréstimos","Passivos circulantes","Outros passivos circulantes"
"35211","3521 Estado: c/subscrição","Passivos circulantes","Outros passivos circulantes"
"35212","3521 Estado: c/adiantamentos sobre lucros","Passivos circulantes","Outros passivos circulantes"
"35213","3521 Estado: c/lucros","Passivos circulantes","Outros passivos circulantes"
"35214","3521 Estado: Empréstimos","Passivos circulantes","Outros passivos circulantes"
"35221","3522 Empresas do grupo – subsidiárias: c/subscrição","Passivos circulantes","Outros passivos circulantes"
"35222","3522 Empresas do grupo – subsidiárias: c/adiantamentos sobre lucros","Passivos circulantes","Outros passivos circulantes"
"35223","3522 Empresas do grupo – subsidiárias: c/lucros","Passivos circulantes","Outros passivos circulantes"
"35224","3522 Empresas do grupo – subsidiárias: Empréstimos","Passivos circulantes","Outros passivos circulantes"
"35231","3523 Empresas do grupo – associadas: c/subscrição","Passivos circulantes","Outros passivos circulantes"
"35232","3523 Empresas do grupo – associadas: c/adiantamentos sobre lucros","Passivos circulantes","Outros passivos circulantes"
"35233","3523 Empresas do grupo – associadas: c/lucros","Passivos circulantes","Outros passivos circulantes"
"35234","3523 Empresas do grupo – associadas: Empréstimos","Passivos circulantes","Outros passivos circulantes"
"35241","3524 Outros: c/subscrição","Passivos circulantes","Outros passivos circulantes"
"35242","3524 Outros: c/adiantamentos sobre lucros","Passivos circulantes","Outros passivos circulantes"
"35243","3524 Outros: c/lucros","Passivos circulantes","Outros passivos circulantes"
"35244","3524 Outros: Empréstimos","Passivos circulantes","Outros passivos circulantes"
"38111","3811 Clientes – correntes: Grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"38112","3811 Clientes – correntes: Não grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"38121","3812 Cliente – títulos a receber: Grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"38122","3812 Cliente – títulos a receber: Não grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"38131","3813 Clientes – cobrança duvidosa: Grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"38132","3813 Clientes – cobrança duvidosa: Não grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"66111","6611 De investimentos financeiros: Obrigações","Outros lucros","Outra receita de investimento"
"66113","6611 De investimentos financeiros: Títulos de participação","Outros lucros","Outra receita de investimento"
"66114","6611 De investimentos financeiros: Empréstimos","Outros lucros","Outra receita de investimento"
"66119","6611 De investimentos financeiros: Outros","Outros lucros","Outra receita de investimento"
"66121","6612 De mora relativos a dívidas de terceiros: Dívidas recebidas a prestações","Outros lucros","Outra receita de investimento"
"66122","6612 De mora relativos a dívidas de terceiros: De empréstimos a terceiros","Outros lucros","Outra receita de investimento"
"66611","6661 Investimentos financeiros: Subsidiárias","Outros lucros","Outra receita de investimento"
"66612","6661 Investimentos financeiros: Associadas","Outros lucros","Outra receita de investimento"
"66613","6661 Investimentos financeiros: Outras empresas","Outros lucros","Outra receita de investimento"
"66614","6661 Investimentos financeiros: Imóveis","Outros lucros","Outra receita de investimento"
"66615","6661 Investimentos financeiros: Fundos","Outros lucros","Outra receita de investimento"
"66619","6661 Investimentos financeiros: Outros investimentos","Outros lucros","Outra receita de investimento"
"66711","6671 Investimentos financeiros: Subsidiárias","Outros lucros","Outra receita de investimento"
"66712","6671 Investimentos financeiros: Associadas","Outros lucros","Outra receita de investimento"
"66713","6671 Investimentos financeiros: Outras empresas","Outros lucros","Outra receita de investimento"
"66714","6671 Investimentos financeiros: Fundos","Outros lucros","Outra receita de investimento"
"66719","6671 Investimentos financeiros: Outros investimentos","Outros lucros","Outra receita de investimento"
"66721","6672 Aplicações de tesouraria: Títulos negociáveis","Outros lucros","Outra receita de investimento"
"66722","6672 Aplicações de tesouraria: Depósitos a prazo","Outros lucros","Outra receita de investimento"
"66723","6672 Aplicações de tesouraria: Outros depósitos","Outros lucros","Outra receita de investimento"
"66729","6672 Aplicações de tesouraria: Outros investimentos","Outros lucros","Outra receita de investimento"
"68111","6811 Existências: Matérias-primas subsidiárias e de consumo","Outros lucros","Outras receitas diversas"
"68112","6811 Existências: Produtos e trabalhos em curso","Outros lucros","Outras receitas diversas"
"68113","6811 Existências: Produtos acabados e intermédios","Outros lucros","Outras receitas diversas"
"68114","6811 Existências: Sub-produtos, desperdícios, resíduos e refugos","Outros lucros","Outras receitas diversas"
"68115","6811 Existências: Mercadorias","Outros lucros","Outras receitas diversas"
"68121","6812 Cobranças duvidosas: Clientes","Outros lucros","Outras receitas diversas"
"68122","6812 Cobranças duvidosas: Clientes – títulos a receber","Outros lucros","Outras receitas diversas"
"68123","6812 Cobranças duvidosas: Clientes – cobrança duvidosa","Outros lucros","Outras receitas diversas"
"68124","6812 Cobranças duvidosas: Saldos devedores de fornecedores","Outros lucros","Outras receitas diversas"
"68125","6812 Cobranças duvidosas: Participantes e participadas","Outros lucros","Outras receitas diversas"
"68126","6812 Cobranças duvidosas: Dívidas do Pessoal","Outros lucros","Outras receitas diversas"
"68129","6812 Cobranças duvidosas: Outros saldos a receber","Outros lucros","Outras receitas diversas"
"68131","6813 Riscos e encargos: Pensões","Outros lucros","Outras receitas diversas"
"68132","6813 Riscos e encargos: Processos judiciais em curso","Outros lucros","Outras receitas diversas"
"68133","6813 Riscos e encargos: Acidentes de trabalho","Outros lucros","Outras receitas diversas"
"68134","6813 Riscos e encargos: Garantias dadas a clientes","Outros lucros","Outras receitas diversas"
"68139","6813 Riscos e encargos: Outros riscos e encargos","Outros lucros","Outras receitas diversas"
"752321","75232 Assistência técnica: Estrangeira","Despesas","Despesas gerais de administração/de escritório"
"752322","75232 Assistência técnica: Nacional","Despesas","Despesas gerais de administração/de escritório"
"75311","7531 Indirectos: Imposto de selo","Despesas","Despesas gerais de administração/de escritório"
"75312","7531 Indirectos: IVA","Despesas","Despesas gerais de administração/de escritório"
"75319","7531 Indirectos: Outros impostos","Despesas","Despesas gerais de administração/de escritório"
"75321","7532 Directos: Imposto de capitais","Despesas","Despesas gerais de administração/de escritório"
"75322","7532 Directos: Contribuição predial","Despesas","Despesas gerais de administração/de escritório"
"75329","7532 Directos: Outros impostos","Despesas","Despesas gerais de administração/de escritório"
"76111","7611 De empréstimos: Bancários","Outras despesas","Custos de financiamento"
"76112","7611 De empréstimos: Obrigações","Outras despesas","Custos de financiamento"
"76113","7611 De empréstimos: Títulos de participação","Outras despesas","Custos de financiamento"
"76511","7651 Investimentos financeiros: Subsidiárias","Outras despesas","Custos de financiamento"
"76512","7651 Investimentos financeiros: Associadas","Outras despesas","Custos de financiamento"
"76513","7651 Investimentos financeiros: Outras empresas","Outras despesas","Custos de financiamento"
"76514","7651 Investimentos financeiros: Fundos","Outras despesas","Custos de financiamento"
"76519","7651 Investimentos financeiros: Outros investimentos","Outras despesas","Custos de financiamento"
"76521","7652 Aplicações de tesouraria: Títulos negociáveis","Outras despesas","Custos de financiamento"
"76522","7652 Aplicações de tesouraria: Depósitos a prazo","Outras despesas","Custos de financiamento"
"76523","7652 Aplicações de tesouraria: Outros depósitos","Outras despesas","Custos de financiamento"
"76529","7652 Aplicações de tesouraria: Outros","Outras despesas","Custos de financiamento"
"76611","7661 Investimentos financeiros: Subsidiárias","Outras despesas","Custos de financiamento"
"76612","7661 Investimentos financeiros: Associadas","Outras despesas","Custos de financiamento"
"76613","7661 Investimentos financeiros: Outras empresas","Outras despesas","Custos de financiamento"
"76614","7661 Investimentos financeiros: Fundos","Outras despesas","Custos de financiamento"
"76619","7661 Investimentos financeiros: Outros investimentos","Outras despesas","Custos de financiamento"
"78111","7811 Existências: Matérias-primas subsidiárias e de consumo","Outras despesas","Outras despesas"
"78112","7811 Existências: Produtos e trabalhos em curso","Outras despesas","Outras despesas"
"78113","7811 Existências: Produtos acabados e intermédios","Outras despesas","Outras despesas"
"78114","7811 Existências: Sub-produtos, desperdícios, resíduos e refugos","Outras despesas","Outras despesas"
"78115","7811 Existências: Mercadorias","Outras despesas","Outras despesas"
"78121","7812 Cobranças Duvidosas: Clientes","Outras despesas","Outras despesas"
"78122","7812 Cobranças Duvidosas: Clientes – títulos a receber","Outras despesas","Outras despesas"
"78123","7812 Cobranças Duvidosas: Clientes – cobrança duvidosa","Outras despesas","Outras despesas"
"78124","7812 Cobranças Duvidosas: Saldos devedores de fornecedores","Outras despesas","Outras despesas"
"78125","7812 Cobranças Duvidosas: Participantes e participadas","Outras despesas","Outras despesas"
"78126","7812 Cobranças Duvidosas: Dívidas do pessoal","Outras despesas","Outras despesas"
"78129","7812 Cobranças Duvidosas: Outros saldos a receber","Outras despesas","Outras despesas"
"78131","7813 Riscos e encargos: Pensões","Outras despesas","Outras despesas"
"78132","7813 Riscos e encargos: Processos judiciais em curso","Outras despesas","Outras despesas"
"78133","7813 Riscos e encargos: Acidentes de trabalho","Outras despesas","Outras despesas"
"78134","7813 Riscos e encargos: Garantias dadas a clientes","Outras despesas","Outras despesas"
"78139","7813 Riscos e encargos: Outros riscos e encargos","Outras despesas","Outras despesas"
