"Account Number","Account Name","Type","Detail Type"
"1819","181 Imobilizações corpóreas: Outras imobilizações corpóreas","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1821","182 Imobilizações incorpóreas: Trespasses","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1822","182 Imobilizações incorpóreas: Despesas de investigação e desenvolvimento","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1823","182 Imobilizações incorpóreas: Propriedade industrial e outros direitos e contratos","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1824","182 Imobilizações incorpóreas: Despesas de constituição","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1829","182 Imobilizações incorpóreas: Outras imobilizações incorpóreas","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1831","183 Investimentos financeiros em imóveis: Terrenos e recursos naturais","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1832","183 Investimentos financeiros em imóveis: Edifícios e outras construções","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1911","191 Empresas subsidiárias: Partes de capital","Ativos não circulantes","Outros ativos não circulantes"
"1912","191 Empresas subsidiárias: Obrigações e títulos de participação","Ativos não circulantes","Outros ativos não circulantes"
"1913","191 Empresas subsidiárias: Empréstimos","Ativos não circulantes","Outros ativos não circulantes"
"1921","192 Empresas associadas: Partes de capital","Ativos não circulantes","Outros ativos não circulantes"
"1922","192 Empresas associadas: Obrigações e títulos de participação","Ativos não circulantes","Outros ativos não circulantes"
"1923","192 Empresas associadas: Empréstimos","Ativos não circulantes","Outros ativos não circulantes"
"1931","193 Outras empresas: Partes de capital","Ativos não circulantes","Outros ativos não circulantes"
"1932","193 Outras empresas: Obrigações e títulos de participação","Ativos não circulantes","Outros ativos não circulantes"
"1933","193 Outras empresas: Empréstimos","Ativos não circulantes","Outros ativos não circulantes"
"1941","194 Fundos: Partes de capital","Ativos não circulantes","Outros ativos não circulantes"
"1991","199 Outros investimentos financeiros: Diamantes","Ativos não circulantes","Outros ativos não circulantes"
"1992","199 Outros investimentos financeiros: Ouro","Ativos não circulantes","Outros ativos não circulantes"
"1993","199 Outros investimentos financeiros: Depósitos bancários","Ativos não circulantes","Outros ativos não circulantes"
"211","21 Compras: Matérias-primas, subsidiárias e de consumo","Ativos circulantes","Estoque"
"212","21 Compras: Mercadorias","Ativos circulantes","Estoque"
"217","21 Compras: Devoluções de compras","Ativos circulantes","Estoque"
"218","21 Compras: Descontos e abatimentos em compras","Ativos circulantes","Estoque"
"221","22 Matérias-primas, subsidiárias e de consumo: Matérias-primas","Ativos circulantes","Estoque"
"222","22 Matérias-primas, subsidiárias e de consumo: Matérias subsidiárias","Ativos circulantes","Estoque"
"223","22 Matérias-primas, subsidiárias e de consumo: Materiais diversos","Ativos circulantes","Estoque"
"224","22 Matérias-primas, subsidiárias e de consumo: Embalagens de consumo","Ativos circulantes","Estoque"
"225","22 Matérias-primas, subsidiárias e de consumo: Outros materiais","Ativos circulantes","Estoque"
"241","24 Produtos acabados e intermédios: Produtos acabados","Ativos circulantes","Estoque"
"242","24 Produtos acabados e intermédios: Produtos intermédios","Ativos circulantes","Estoque"
"249","24 Produtos acabados e intermédios: Em poder de terceiros","Ativos circulantes","Estoque"
"251","25 Sub-produtos, desperdícios, resíduos e refugos: Sub-produtos","Ativos circulantes","Estoque"
"252","25 Sub-produtos, desperdícios, resíduos e refugos: Desperdícios, resíduos e refugos","Ativos circulantes","Estoque"
"269","26 Mercadorias: Em poder de terceiros","Ativos circulantes","Estoque"
"271","27 Matérias-primas, mercadorias e outros materiais em trânsito: Matérias-primas","Ativos circulantes","Estoque"
"272","27 Matérias-primas, mercadorias e outros materiais em trânsito: Outros materiais","Ativos circulantes","Estoque"
"273","27 Matérias-primas, mercadorias e outros materiais em trânsito: Mercadorias","Ativos circulantes","Estoque"
"281","28 Adiantamentos por conta de compras: Matérias-primas e outros materiais","Ativos circulantes","Despesas pagas antecipadamente"
"282","28 Adiantamentos por conta de compras: Mercadorias","Ativos circulantes","Despesas pagas antecipadamente"
"292","29 Provisão para depreciação de existências: Matérias-primas subsidiárias e de consumo","Ativos circulantes","Outros ativos circulantes"
"293","29 Provisão para depreciação de existências: Produtos e trabalhos em curso","Ativos circulantes","Outros ativos circulantes"
"294","29 Provisão para depreciação de existências: Produtos acabados e intermédios","Ativos circulantes","Outros ativos circulantes"
"295","29 Provisão para depreciação de existências: Sub-produtos, desperdícios, resíduos e refugos","Ativos circulantes","Outros ativos circulantes"
"296","29 Provisão para depreciação de existências: Mercadorias","Ativos circulantes","Outros ativos circulantes"
"3111","311 Clientes – correntes: Grupo","Contas a receber (C/R)","Contas a Receber (C/R)"
"3112","311 Clientes – correntes: Não grupo","Contas a receber (C/R)","Contas a Receber (C/R)"
"3121","312 Clientes – títulos a receber: Grupo","Contas a receber (C/R)","Contas a Receber (C/R)"
"3122","312 Clientes – títulos a receber: Não grupo","Contas a receber (C/R)","Contas a Receber (C/R)"
"3131","313 Clientes – títulos descontados: Grupo","Contas a receber (C/R)","Contas a Receber (C/R)"
"3132","313 Clientes – títulos descontados: Não grupo","Contas a receber (C/R)","Contas a Receber (C/R)"
"3181","318 Clientes de cobrança duvidosa: Clientes – correntes","Contas a receber (C/R)","Contas a Receber (C/R)"
"3182","318 Clientes de cobrança duvidosa: Clientes – títulos","Contas a receber (C/R)","Contas a Receber (C/R)"
"3191","319 Clientes - saldos credores: Adiantamentos","Contas a receber (C/R)","Contas a Receber (C/R)"
"3192","319 Clientes - saldos credores: Embalagens a devolver","Contas a receber (C/R)","Contas a Receber (C/R)"
"3193","319 Clientes - saldos credores: Material à consignação","Contas a receber (C/R)","Contas a Receber (C/R)"
"3211","321 Fornecedores – correntes: Grupo","Contas a pagar (C/P)","Contas a pagar (C/P)"
"3212","321 Fornecedores – correntes: Não grupo","Contas a pagar (C/P)","Contas a pagar (C/P)"
"3221","322 Fornecedores – títulos a pagar: Grupo","Contas a pagar (C/P)","Contas a pagar (C/P)"
"3222","322 Fornecedores – títulos a pagar: Não grupo","Contas a pagar (C/P)","Contas a pagar (C/P)"
"3291","329 Fornecedores – saldos devedores: Adiantamentos","Contas a pagar (C/P)","Contas a pagar (C/P)"
"3292","329 Fornecedores – saldos devedores: Embalagens a devolver","Contas a pagar (C/P)","Contas a pagar (C/P)"
"3293","329 Fornecedores – saldos devedores: Material à consignação","Contas a pagar (C/P)","Contas a pagar (C/P)"
"3311","331 Empréstimos bancários: Moeda nacional","Passivos não circulantes","Títulos a pagar"
"3312","331 Empréstimos bancários: Moeda estrangeira","Passivos não circulantes","Títulos a pagar"
"3321","332 Empréstimos por obrigações: Convertíveis","Passivos não circulantes","Títulos a pagar"
"3322","332 Empréstimos por obrigações: Não convertíveis","Passivos não circulantes","Títulos a pagar"
"3331","333 Empréstimos por títulos de participação: Entidade ___","Passivos não circulantes","Títulos a pagar"
"3391","339 Outros empréstimos obtidos: Entidade ___","Passivos não circulantes","Títulos a pagar"
"3451","345 IVA: IVA suportado","Passivos circulantes","obrigação tributária corrente"
"3452","345 IVA: IVA dedutível","Passivos circulantes","obrigação tributária corrente"
"3453","345 IVA: IVA liquidado","Passivos circulantes","obrigação tributária corrente"
"3454","345 IVA: IVA regularizações","Passivos circulantes","obrigação tributária corrente"
"3455","345 IVA: IVA apuramento","Passivos circulantes","obrigação tributária corrente"
"3456","345 IVA: IVA a pagar","Passivos circulantes","obrigação tributária corrente"
"3457","345 IVA: IVA a recuperar","Passivos circulantes","obrigação tributária corrente"
"3458","345 IVA: IVA reembolsos pedidos","Passivos circulantes","obrigação tributária corrente"
"3459","345 IVA: IVA Liquidações oficiosas","Passivos circulantes","obrigação tributária corrente"
"3511","351 Entidades participantes: Estado","Passivos circulantes","Outros passivos circulantes"
"3512","351 Entidades participantes: Empresas do grupo – subsidiárias","Passivos circulantes","Outros passivos circulantes"
"3513","351 Entidades participantes: Empresas do grupo – associadas","Passivos circulantes","Outros passivos circulantes"
"3514","351 Entidades participantes: Outros","Passivos circulantes","Outros passivos circulantes"
"3521","352 Entidades participadas: Estado","Passivos circulantes","Outros passivos circulantes"
"3522","352 Entidades participadas: Empresas do grupo – subsidiárias","Passivos circulantes","Outros passivos circulantes"
"3523","352 Entidades participadas: Empresas do grupo – associadas","Passivos circulantes","Outros passivos circulantes"
"3524","352 Entidades participadas: Outros","Passivos circulantes","Outros passivos circulantes"
"3611","361 Pessoal – remunerações: Órgãos sociais","Passivos circulantes","Compensação da folha de pagamento"
"3612","361 Pessoal – remunerações: Empregados","Passivos circulantes","Compensação da folha de pagamento"
"3621","362 Pessoal – participação nos resultados: Órgãos sociais","Passivos circulantes","Compensação da folha de pagamento"
"3622","362 Pessoal – participação nos resultados: Empregados","Passivos circulantes","Compensação da folha de pagamento"
"3711","371 Compras de imobilizado: Corpóreo","Passivos circulantes","Outros passivos circulantes"
"3712","371 Compras de imobilizado: Incorpóreo","Passivos circulantes","Outros passivos circulantes"
"3713","371 Compras de imobilizado: Financeiro","Passivos circulantes","Outros passivos circulantes"
"3721","372 Vendas de imobilizado: Corpóreo","Passivos circulantes","Outros passivos circulantes"
"3722","372 Vendas de imobilizado: Incorpóreo","Passivos circulantes","Outros passivos circulantes"
"3723","372 Vendas de imobilizado: Financeiro","Passivos circulantes","Outros passivos circulantes"
"3731","373 Proveitos a facturar: Vendas","Passivos circulantes","Outros passivos circulantes"
"3732","373 Proveitos a facturar: Prestações de serviço","Passivos circulantes","Outros passivos circulantes"
"3733","373 Proveitos a facturar: Juros","Passivos circulantes","Outros passivos circulantes"
"3741","374 Encargos a repartir por períodos futuros: Descontos de emissão de obrigações","Passivos circulantes","Outros passivos circulantes"
"3742","374 Encargos a repartir por períodos futuros: Descontos de emissão de títulos de participação","Passivos circulantes","Outros passivos circulantes"
"3751","375 Encargos a pagar: Remunerações","Passivos circulantes","Outros passivos circulantes"
"3752","375 Encargos a pagar: Juros","Passivos circulantes","Outros passivos circulantes"
"3761","376 Proveitos a repartir por períodos futuros: Prémios de emissão de obrigações","Passivos circulantes","Outros passivos circulantes"
"3762","376 Proveitos a repartir por períodos futuros: Prémios de emissão de títulos de participação","Passivos circulantes","Outros passivos circulantes"
"3763","376 Proveitos a repartir por períodos futuros: Subsídios para investimento","Passivos circulantes","Outros passivos circulantes"
"3764","376 Proveitos a repartir por períodos futuros: Diferenças de câmbio favoráveis reversíveis","Passivos circulantes","Outros passivos circulantes"
"3771","377 Contas transitórias: Transacções entre a sede e as dependências da empresa","Passivos circulantes","Outros passivos circulantes"
"3811","381 Provisões para clientes: Clientes – correntes","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"3812","381 Provisões para clientes: Cliente – títulos a receber","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"3813","381 Provisões para clientes: Clientes – cobrança duvidosa","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"3831","383 Provisões p/participantes e participadas: Participantes","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"3832","383 Provisões p/participantes e participadas: Participadas","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"3891","389 Provisões para outros saldos a receber: Vendas imobilizado","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"4111","411 Acções: Empresas do grupo","Ativos circulantes","Investimentos - Outros"
"4112","411 Acções: Associadas","Ativos circulantes","Investimentos - Outros"
"4113","411 Acções: Outras empresas","Ativos circulantes","Investimentos - Outros"
"4121","412 Obrigações: Empresas do grupo","Ativos circulantes","Investimentos - Outros"
"4122","412 Obrigações: Associadas","Ativos circulantes","Investimentos - Outros"
"4123","412 Obrigações: Outras empresas","Ativos circulantes","Investimentos - Outros"
"4211","421 Moeda nacional: Banco ___","Caixa e equivalentes-caixa","Poupança"
"4212","421 Moeda nacional: Banco ___","Caixa e equivalentes-caixa","Poupança"
"4221","422 Moeda estrangeira: Banco ___","Caixa e equivalentes-caixa","Poupança"
"4222","422 Moeda estrangeira: Banco ___","Caixa e equivalentes-caixa","Poupança"
"4311","431 Moeda nacional: Banco ___","Caixa e equivalentes-caixa","Banco"
"4312","431 Moeda nacional: Banco ___","Caixa e equivalentes-caixa","Banco"
"4321","432 Moeda estrangeira: Banco ___","Caixa e equivalentes-caixa","Banco"
"4322","432 Moeda estrangeira: Banco ___","Caixa e equivalentes-caixa","Banco"
"4411","441 Moeda nacional: Banco ___","Caixa e equivalentes-caixa","Poupança"
"4412","441 Moeda nacional: Banco ___","Caixa e equivalentes-caixa","Poupança"
"4421","442 Moeda estrangeira: Banco ___","Caixa e equivalentes-caixa","Poupança"
"4422","442 Moeda estrangeira: Banco ___","Caixa e equivalentes-caixa","Poupança"
"4511","451 Fundo fixo: Caixa ___","Caixa e equivalentes-caixa","Dinheiro em caixa"
"4512","451 Fundo fixo: Caixa ___","Caixa e equivalentes-caixa","Dinheiro em caixa"
"4531","453 Valores destinados a pagamentos específicos: Salários","Caixa e equivalentes-caixa","Dinheiro em caixa"
"4911","491 Títulos negociáveis: Acções","Ativos circulantes","Outros ativos circulantes"
"4912","491 Títulos negociáveis: Obrigações","Ativos circulantes","Outros ativos circulantes"
"4913","491 Títulos negociáveis: Títulos da dívida pública","Ativos circulantes","Outros ativos circulantes"
"5611","561 Legais: Decreto-Lei n.º ___","Capital do proprietário","Ajuste acumulado"
"5612","561 Legais: Decreto-Lei n.º ___","Capital do proprietário","Ajuste acumulado"
"5621","562 Autónomas: Avaliação","Capital do proprietário","Ajuste acumulado"
"5622","562 Autónomas: Realização","Capital do proprietário","Ajuste acumulado"
"6111","611 Produtos acabados e intermédios: Mercado nacional","Receita","Receita de venda de produtos"
"6112","611 Produtos acabados e intermédios: Mercado estrangeiro","Receita","Receita de venda de produtos"
"6121","612 Sub-produtos, desperdícios, resíduos e refugos: Mercado nacional","Receita","Receita de venda de produtos"
"6122","612 Sub-produtos, desperdícios, resíduos e refugos: Mercado estrangeiro","Receita","Receita de venda de produtos"
"6131","613 Mercadorias: Mercado nacional","Receita","Receita de venda de produtos"
"6132","613 Mercadorias: Mercado estrangeiro","Receita","Receita de venda de produtos"
"6141","614 Embalagens de consumo: Mercado nacional","Receita","Receita de venda de produtos"
"6142","614 Embalagens de consumo: Mercado estrangeiro","Receita","Receita de venda de produtos"
"6171","617 Devoluções: Mercado nacional","Receita","Receita de venda de produtos"
"6172","617 Devoluções: Mercado estrangeiro","Receita","Receita de venda de produtos"
"6181","618 Descontos e abatimentos: Mercado nacional","Receita","Receita de venda de produtos"
"6182","618 Descontos e abatimentos: Mercado estrangeiro","Receita","Receita de venda de produtos"
"6211","621 Serviços principais: Mercado nacional","Receita","Lucro de serviços/comissão"
"6212","621 Serviços principais: Mercado estrangeiro","Receita","Lucro de serviços/comissão"
"6221","622 Serviços secundários: Mercado nacional","Receita","Lucro de serviços/comissão"
"6222","622 Serviços secundários: Mercado estrangeiro","Receita","Lucro de serviços/comissão"
"6281","628 Descontos e abatimentos: Mercado nacional","Receita","Lucro de serviços/comissão"
"6282","628 Descontos e abatimentos: Mercado estrangeiro","Receita","Lucro de serviços/comissão"
"6311","631 Serviços suplementares: Aluguer de equipamento","Receita","Outros rendimentos primários"
"6312","631 Serviços suplementares: Cedência de pessoal","Receita","Outros rendimentos primários"
"6313","631 Serviços suplementares: Cedência de energia","Receita","Outros rendimentos primários"
"6314","631 Serviços suplementares: Estudos, projectos e assistência técnica","Receita","Outros rendimentos primários"
"6511","651 Para imobilizado: Corpóreo","Receita","Outros rendimentos primários"
"6512","651 Para imobilizado: Incorpóreo","Receita","Outros rendimentos primários"
"6513","651 Para imobilizado: Financeiro","Receita","Outros rendimentos primários"
"6514","651 Para imobilizado: Em curso","Receita","Outros rendimentos primários"
"6611","661 Juros: De investimentos financeiros","Outros lucros","Outra receita de investimento"
"6612","661 Juros: De mora relativos a dívidas de terceiros","Outros lucros","Outra receita de investimento"
"6614","661 Juros: Desconto de títulos","Outros lucros","Outra receita de investimento"
"6615","661 Juros: De aplicações de tesouraria","Outros lucros","Outra receita de investimento"
"6621","662 Diferenças de câmbio favoráveis: Realizadas","Outros lucros","Outra receita de investimento"
"6622","662 Diferenças de câmbio favoráveis: Não realizadas","Outros lucros","Outra receita de investimento"
"6651","665 Rendimento de participações de capital: Acções, quotas em outras empresas","Outros lucros","Outra receita de investimento"
"6652","665 Rendimento de participações de capital: Acções, quotas incluídas nos fundos","Outros lucros","Outra receita de investimento"
"6653","665 Rendimento de participações de capital: Acções, quotas incluídas nos títulos negociáveis","Outros lucros","Outra receita de investimento"
"6661","666 Ganhos na alienação de aplicações financeiras: Investimentos financeiros","Outros lucros","Outra receita de investimento"
"6662","666 Ganhos na alienação de aplicações financeiras: Títulos negociáveis","Outros lucros","Outra receita de investimento"
"6671","667 Reposição de provisões: Investimentos financeiros","Outros lucros","Outra receita de investimento"
"6672","667 Reposição de provisões: Aplicações de tesouraria","Outros lucros","Outra receita de investimento"
"6711","671 Rendimento de participações de capital: Subsidiárias","Outros lucros","Receita de dividendos"
"6712","671 Rendimento de participações de capital: Associadas","Outros lucros","Receita de dividendos"
"68101","6810 Correcções relativas a exercícios anteriores: Estimativa impostos","Outros lucros","Outras receitas diversas"
"68102","6810 Correcções relativas a exercícios anteriores: Restituição de impostos","Outros lucros","Outras receitas diversas"
"6811","681 Reposição de provisões: Existências","Outros lucros","Outras receitas diversas"
"68111","6811 Outros ganhos e perdas não operacionais: Donativos","Outros lucros","Outras receitas diversas"
"6812","681 Reposição de provisões: Cobranças duvidosas","Outros lucros","Outras receitas diversas"
"6813","681 Reposição de provisões: Riscos e encargos","Outros lucros","Outras receitas diversas"
"6821","682 Anulação de amortizações extraordinárias: Imobilizações corpóreas","Outros lucros","Outras receitas diversas"
"6822","682 Anulação de amortizações extraordinárias: Imobilizações incorpóreas","Outros lucros","Outras receitas diversas"
"6831","683 Ganhos em imobilizações: Venda de imobilizações corpóreas","Outros lucros","Outras receitas diversas"
"6832","683 Ganhos em imobilizações: Venda de imobilizações incorpóreas","Outros lucros","Outras receitas diversas"
"6841","684 Ganhos em existências: Sobras","Outros lucros","Outras receitas diversas"
"7231","723 Pensões: Órgãos sociais","Despesas","Despesas com folha de pagamento"
"7232","723 Pensões: Pessoal","Despesas","Despesas com folha de pagamento"
"7241","724 Prémios para pensões: Órgãos sociais","Despesas","Despesas com folha de pagamento"
"7242","724 Prémios para pensões: Pessoal","Despesas","Despesas com folha de pagamento"
"7251","725 Encargos sobre remunerações: Órgãos sociais","Despesas","Despesas com folha de pagamento"
"7252","725 Encargos sobre remunerações: Pessoal","Despesas","Despesas com folha de pagamento"
"7261","726 Seguros de acidentes de trabalho e doenças profissionais: Órgãos sociais","Despesas","Despesas com folha de pagamento"
"7262","726 Seguros de acidentes de trabalho e doenças profissionais: Pessoal","Despesas","Despesas com folha de pagamento"
"7271","727 Formação: Órgãos sociais","Despesas","Despesas com folha de pagamento"
"7272","727 Formação: Pessoal","Despesas","Despesas com folha de pagamento"
"7281","728 Outras despesas com o pessoal: Órgãos sociais","Despesas","Despesas com folha de pagamento"
"7282","728 Outras despesas com o pessoal: Pessoal","Despesas","Despesas com folha de pagamento"
"7312","731 Imobilizações corpóreas: Edifícios e outras construções","Despesas","Despesas de amortização"
"7313","731 Imobilizações corpóreas: Equipamento básico","Despesas","Despesas de amortização"
"7314","731 Imobilizações corpóreas: Equipamento de carga e transporte","Despesas","Despesas de amortização"
"7315","731 Imobilizações corpóreas: Equipamento administrativo","Despesas","Despesas de amortização"
"7316","731 Imobilizações corpóreas: Taras e vasilhame","Despesas","Despesas de amortização"
"7319","731 Imobilizações corpóreas: Outras imobilizações corpóreas","Despesas","Despesas de amortização"
"7321","732 Imobilizações incorpóreas: Trespasses","Despesas","Despesas de amortização"
"7322","732 Imobilizações incorpóreas: Despesas de investigação e desenvolvimento","Despesas","Despesas de amortização"
"7323","732 Imobilizações incorpóreas: Propriedade industrial e outros direitos e contratos","Despesas","Despesas de amortização"
"7324","732 Imobilizações incorpóreas: Despesas de constituição","Despesas","Despesas de amortização"
"7329","732 Imobilizações incorpóreas: Outras imobilizações incorpóreas","Despesas","Despesas de amortização"
"75211","752 Fornecimentos e serviços de terceiros: Água","Despesas","Serviços públicos"
"75212","752 Fornecimentos e serviços de terceiros: Electricidade","Despesas","Serviços públicos"
"75213","752 Fornecimentos e serviços de terceiros: Combustíveis e outros fluídos","Despesas","Serviços públicos"
"75214","752 Fornecimentos e serviços de terceiros: Conservação e reparação","Despesas","Reparo e manutenção"
"75215","752 Fornecimentos e serviços de terceiros: Material de protecção segurança e conforto","Despesas","Suprimentos e materiais"
"75216","752 Fornecimentos e serviços de terceiros: Ferramentas e utensílios de desgaste rápido","Despesas","Suprimentos e materiais"
"75217","752 Fornecimentos e serviços de terceiros: Material de escritório","Despesas","Suprimentos e materiais"
"75218","752 Fornecimentos e serviços de terceiros: Livros e documentação técnica","Despesas","Despesas gerais de administração/de escritório"
"75219","752 Fornecimentos e serviços de terceiros: Outros fornecimentos","Despesas","Despesas gerais de administração/de escritório"
"75220","752 Fornecimentos e serviços de terceiros: Comunicação","Despesas","Serviços públicos"
"75221","752 Fornecimentos e serviços de terceiros: Rendas e alugueres","Despesas","Aluguel ou arrendamento de prédios"
"75222","752 Fornecimentos e serviços de terceiros: Seguros","Despesas","Seguro"
"75223","752 Fornecimentos e serviços de terceiros: Deslocações e estadas","Despesas","Despesas de viagens - despesas gerais e administrativas"
"75224","752 Fornecimentos e serviços de terceiros: Despesas de representação","Despesas","Refeições e entretenimento"
"75226","752 Fornecimentos e serviços de terceiros: Conservação e reparação","Despesas","Reparo e manutenção"
"75227","752 Fornecimentos e serviços de terceiros: Vigilância e segurança","Despesas","Despesas gerais de administração/de escritório"
"75228","752 Fornecimentos e serviços de terceiros: Limpeza, higiene e conforto","Despesas","Despesas gerais de administração/de escritório"
"75229","752 Fornecimentos e serviços de terceiros: Publicidade e propaganda","Despesas","Publicidade/promoção"
"75230","752 Fornecimentos e serviços de terceiros: Contencioso e notariado","Despesas","Despesas gerais de administração/de escritório"
"75231","752 Fornecimentos e serviços de terceiros: Comissões a intermediários","Despesas","Honorários advocatícios e profissionais"
"75232","752 Fornecimentos e serviços de terceiros: Assistência técnica","Despesas","Honorários advocatícios e profissionais"
"75233","752 Fornecimentos e serviços de terceiros: Trabalhos executados no exterior","Despesas","Despesas gerais de administração/de escritório"
"75234","752 Fornecimentos e serviços de terceiros: Honorários e avenças","Despesas","Honorários advocatícios e profissionais"
"75235","752 Fornecimentos e serviços de terceiros: Royalties","Despesas","Honorários advocatícios e profissionais"
"75239","752 Fornecimentos e serviços de terceiros: Outros serviços","Despesas","Despesas gerais de administração/de escritório"
"7531","753 Impostos: Indirectos","Despesas","Despesas gerais de administração/de escritório"
"7532","753 Impostos: Directos","Despesas","Despesas gerais de administração/de escritório"
"7611","761 Juros: De empréstimos","Outras despesas","Custos de financiamento"
"7612","761 Juros: De descobertos bancários","Outras despesas","Encargos bancários"
"7613","761 Juros: De mora relativos a dívidas a terceiros","Outras despesas","Custos de financiamento"
"7614","761 Juros: De desconto de títulos","Outras despesas","Custos de financiamento"
"7621","762 Diferenças de câmbio desfavoráveis: Realizadas","Outras despesas","Custos de financiamento"
"7622","762 Diferenças de câmbio desfavoráveis: Não realizadas","Outras despesas","Custos de financiamento"
"7651","765 Provisões para aplicações financeiras: Investimentos financeiros","Outras despesas","Custos de financiamento"
"7652","765 Provisões para aplicações financeiras: Aplicações de tesouraria","Outras despesas","Custos de financiamento"
"7661","766 Perdas na alienação de aplicações financeiras: Investimentos financeiros","Outras despesas","Custos de financiamento"
"7662","766 Perdas na alienação de aplicações financeiras: Aplicações de títulos negociáveis","Outras despesas","Custos de financiamento"
"78101","7810 Correcções relativas a exercícios anteriores: Estimativa impostos","Outras despesas","Outras despesas"
"7811","781 Provisões do exercício: Existências","Outras despesas","Outras despesas"
"78111","7811 Outros custos e perdas não operacionais: Donativos","Outras despesas","Outras despesas"
"78112","7811 Outros custos e perdas não operacionais: Reembolso de subsídios à exploração","Outras despesas","Outras despesas"
"78113","7811 Outros custos e perdas não operacionais: Reembolso de subsídios a investimentos","Outras despesas","Outras despesas"
"7812","781 Provisões do exercício: Cobranças Duvidosas","Outras despesas","Outras despesas"
"7813","781 Provisões do exercício: Riscos e encargos","Outras despesas","Outras despesas"
"7821","782 Amortizações extraordinárias: Imobilizações Corpóreas","Outras despesas","Outras despesas"
"7822","782 Amortizações extraordinárias: Imobilizações Incorpóreas","Outras despesas","Outras despesas"
"7831","783 Perdas em imobilizações: Venda de imobilizações corpóreas","Outras despesas","Outras despesas"
"7832","783 Perdas em imobilizações: Venda de imobilizações incorpóreas","Outras despesas","Outras despesas"
"7833","783 Perdas em imobilizações: Abates","Outras despesas","Outras despesas"
"7839","783 Perdas em imobilizações: Outras","Outras despesas","Outras despesas"
"7841","784 Perdas em existências: Quebras","Outras despesas","Outras despesas"
"7861","786 Multas e penalidades contratuais: Fiscais","Outras despesas","Outras despesas"
"7862","786 Multas e penalidades contratuais: Não fiscais","Outras despesas","Outras despesas"
"7863","786 Multas e penalidades contratuais: Penalidades contratuais","Outras despesas","Outras despesas"
"8111","811 Ano____: Resultado do ano","Capital do proprietário","Lucros acumulados"
"8112","811 Ano____: Aplicação de resultados","Capital do proprietário","Lucros acumulados"
"8113","811 Ano____: Correcções de erros fundamentais, no exercício seguinte","Capital do proprietário","Lucros acumulados"
